Name,Rank
Taylor Swift,1
Imprint/Promotion Label:,2
Kendrick Lamar,3
Imprint/Promotion Label:,4
Sabrina Carpenter,5
Imprint/Promotion Label:,6
Billie Eilish,7
Imprint/Promotion Label:,8
Juice WRLD,9
Imprint/Promotion Label:,10
Morgan Wallen,11
Imprint/Promotion Label:,12
Ariana Grande,13
Imprint/Promotion Label:,14
"Tyler, The Creator",15
Imprint/Promotion Label:,16
Chappell Roan,17
Imprint/Promotion Label:,18
SZA,19
Imprint/Promotion Label:,20
Jelly Roll,21
Imprint/Promotion Label:,22
Michael Buble,23
Imprint/Promotion Label:,24
Mariah Carey,25
Imprint/Promotion Label:,26
Zach Bryan,27
Imprint/Promotion Label:,28
Teddy Swims,29
Imprint/Promotion Label:,30
Shaboozey,31
Imprint/Promotion Label:,32
Gracie Abrams,33
Imprint/Promotion Label:,34
Cynthia Erivo,35
Imprint/Promotion Label:,36
Bruno Mars,37
Imprint/Promotion Label:,38
Luke Combs,39
Imprint/Promotion Label:,40
Andy Williams,41
Imprint/Promotion Label:,42
Post Malone,43
Imprint/Promotion Label:,44
Nat King Cole,45
Imprint/Promotion Label:,46
The Weeknd,47
Imprint/Promotion Label:,48
Vince Guaraldi Trio,49
Imprint/Promotion Label:,50
Hozier,51
Imprint/Promotion Label:,52
Bing Crosby,53
Imprint/Promotion Label:,54
Brenda Lee,55
Imprint/Promotion Label:,56
GloRilla,57
Imprint/Promotion Label:,58
Wham!,59
Imprint/Promotion Label:,60
Burl Ives,61
Imprint/Promotion Label:,62
Noah Kahan,63
Imprint/Promotion Label:,64
Dean Martin,65
Imprint/Promotion Label:,66
Chris Stapleton,67
Imprint/Promotion Label:,68
Bobby Helms,69
Imprint/Promotion Label:,70
Frank Sinatra,71
Imprint/Promotion Label:,72
Lady Gaga,73
Imprint/Promotion Label:,74
Benson Boone,75
Imprint/Promotion Label:,76
Linkin Park,77
Imprint/Promotion Label:,78
Eminem,79
Imprint/Promotion Label:,80
Olivia Rodrigo,81
Imprint/Promotion Label:,82
Kelly Clarkson,83
Imprint/Promotion Label:,84
Myles Smith,85
Imprint/Promotion Label:,86
Tate McRae,87
Imprint/Promotion Label:,88
Pentatonix,89
Imprint/Promotion Label:,90
Charli xcx,91
Imprint/Promotion Label:,92
Gene Autry,93
Imprint/Promotion Label:,94
Fleetwood Mac,95
Imprint/Promotion Label:,96
Trans-Siberian Orchestra,97
Imprint/Promotion Label:,98
Lainey Wilson,99
Imprint/Promotion Label:,100
Future,101
Imprint/Promotion Label:,102
Jose Feliciano,103
Imprint/Promotion Label:,104
Darlene Love,105
Imprint/Promotion Label:,106
The Ronettes,107
Imprint/Promotion Label:,108
Elvis Presley,109
Imprint/Promotion Label:,110
Eagles,111
Imprint/Promotion Label:,112
ATEEZ,113
Imprint/Promotion Label:,114
MF Doom,115
Imprint/Promotion Label:,116
ROSE,117
Imprint/Promotion Label:,118
Laufey,119
Imprint/Promotion Label:,120
Ed Sheeran,121
Imprint/Promotion Label:,122
The Jacksons,123
Imprint/Promotion Label:,124
Chris Brown,125
Imprint/Promotion Label:,126
Ella Langley,127
Imprint/Promotion Label:,128
Travis Scott,129
Imprint/Promotion Label:,130
BigXthaPlug,131
Imprint/Promotion Label:,132
ENHYPEN,133
Imprint/Promotion Label:,134
The Beatles,135
Imprint/Promotion Label:,136
Frank Ocean,137
Imprint/Promotion Label:,138
Jimin,139
Imprint/Promotion Label:,140
Tommy Richman,141
Imprint/Promotion Label:,142
Gunna,143
Imprint/Promotion Label:,144
Metallica,145
Imprint/Promotion Label:,146
Bailey Zimmerman,147
Imprint/Promotion Label:,148
Chuck Berry,149
Imprint/Promotion Label:,150
Don Toliver,151
Imprint/Promotion Label:,152
The Beach Boys,153
Imprint/Promotion Label:,154
for KING + COUNTRY,155
Imprint/Promotion Label:,156
Riley Green,157
Imprint/Promotion Label:,158
Jack Harlow,159
Imprint/Promotion Label:,160
Doja Cat,161
Imprint/Promotion Label:,162
TOMORROW X TOGETHER,163
Imprint/Promotion Label:,164
Sexyy Red,165
Imprint/Promotion Label:,166
Nirvana,167
Imprint/Promotion Label:,168
Sia,169
Imprint/Promotion Label:,170
Coldplay,171
Imprint/Promotion Label:,172
Stevie Wonder,173
Imprint/Promotion Label:,174
V,175
Imprint/Promotion Label:,176
Cody Johnson,177
Imprint/Promotion Label:,178
Lana Del Rey,179
Imprint/Promotion Label:,180
Drake,181
Imprint/Promotion Label:,182
Johnny Mathis,183
Imprint/Promotion Label:,184
Thurl Ravenscroft,185
Imprint/Promotion Label:,186
Zach Top,187
Imprint/Promotion Label:,188
Elton John,189
Imprint/Promotion Label:,190
Perry Como,191
Imprint/Promotion Label:,192
Kanye West,193
Imprint/Promotion Label:,194
*NSYNC,195
Imprint/Promotion Label:,196
Playboi Carti,197
Imprint/Promotion Label:,198
Tucker Wetmore,199
Imprint/Promotion Label:,200
