Name,Rank
Oklahoma City Thunder,1
Houston Rockets,2
New York Knicks,3
Cleveland Cavaliers,4
Denver Nuggets,5
Orlando Magic,6
Los Angeles Lakers,7
Minnesota Timberwolves,8
Miami Heat,9
Boston Celtics,10
Detroit Pistons,11
Philadelphia 76ers,12
Atlanta Hawks,13
Golden State Warriors,14
San Antonio Spurs,15
Toronto Raptors,16
LA Clippers,17
Phoenix Suns,18
Memphis Grizzlies,19
Dallas Mavericks,20
Portland Trail Blazers,21
Milwaukee Bucks,22
Chicago Bulls,23
Charlotte Hornets,24
Indiana Pacers,25
Sacramento Kings,26
Utah Jazz,27
Brooklyn Nets,28
New Orleans Pelicans,29
Washington Wizards,30
